ECLI number,35,P12-1,P4-2,8,5,10,2,7,4,P1-2,6,P1-1,3,13,14
ECLI:CE:ECHR:2020:0616JUD006739417,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2020:1215JUD002977514,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2007:1009JUD000720502,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
ECLI:CE:ECHR:2014:0612JUD001471704,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
ECLI:CE:ECHR:2014:1216DEC000353713,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False
ECLI:CE:ECHR:2021:0323JUD003636614,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:1991:0906DEC001465489,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2003:0902DEC003621197,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2003:0902DEC003323996,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2003:0902DEC003324096,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2003:0902DEC003324396,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2003:0902DEC003324796,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2020:1117DEC007394411,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False
ECLI:CE:ECHR:2001:0130DEC004043598,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
ECLI:CE:ECHR:2000:1221JUD002666295,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
ECLI:CE:ECHR:2021:0114JUD005966009,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:1990:1212DEC001475189,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
ECLI:CE:ECHR:2018:0517JUD001736514,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:1996:1127DEC002802795,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:1986:0514DEC001171685,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True
ECLI:CE:ECHR:1996:0515DEC002837095,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:1997:0702DEC003100696,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True
ECLI:CE:ECHR:2001:0522DEC002857595,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
ECLI:CE:ECHR:2001:0626DEC003902297,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
ECLI:CE:ECHR:2001:1009DEC006947101,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
ECLI:CE:ECHR:2006:0207DEC000048505,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
ECLI:CE:ECHR:1986:1201DEC001194986,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True
ECLI:CE:ECHR:2011:0201DEC003184510,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2012:0221DEC000346810,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
ECLI:CE:ECHR:2012:0918JUD004006008,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2013:0924DEC003167311,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ECLI:CE:ECHR:2014:0513DEC007494610,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
ECLI:CE:ECHR:2014:0930DEC006638710,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
ECLI:CE:ECHR:2000:0530DEC002829295,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2000:0530DEC003184596,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2000:0530DEC002829495,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2000:0530DEC003184896,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2000:0530DEC003189096,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2000:0530DEC003184796,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2000:0530DEC003620297,False,False,False,True,True,False,True,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2000:0530DEC003184696,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2001:0522JUD003332596,False,False,False,True,True,False,False,False,False,False,True,False,True,True,True
ECLI:CE:ECHR:2003:0422JUD002829295,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2002:1126JUD003189096,False,False,False,True,True,False,False,False,False,False,True,False,True,True,True
ECLI:CE:ECHR:2006:0202JUD003323896,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2006:0202JUD003323996,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2006:0202JUD003324096,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2006:0202JUD003324396,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2000:0530DEC002851795,False,False,True,True,True,False,True,False,True,False,True,True,True,True,True
ECLI:CE:ECHR:2000:0919DEC003332596,False,False,False,True,True,False,False,False,False,False,True,False,True,True,True
ECLI:CE:ECHR:2000:0919DEC003332396,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2000:0919DEC003332496,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2006:0202JUD003324796,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2006:0202JUD003621197,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True
ECLI:CE:ECHR:2004:0323DEC003621797,False,False,False,True,True,False,True,False,False,False,True,True,True,True,True
