Id,Label,generation 0,generation 1,generation 2,generation
125,CASE OF MOREIRA FERREIRA v. PORTUGAL (No. 2),False,False,True,2
126,CASE OF MEHEMI v. FRANCE,False,False,True,2
127,CASE OF BOTTA v. ITALY,False,True,False,1
128,CASE OF MAMEDOVA v. RUSSIA,False,False,True,2
129,CASE OF CAPITAL BANK AD v. BULGARIA,False,True,False,1
130,CASE OF OTTO-PREMINGER-INSTITUT v. AUSTRIA,False,False,True,2
131,CASE OF GASUS DOSIER- UND FÖRDERTECHNIK GmbH v. THE NETHERLANDS,False,False,True,2
132,CASE OF JASPER v. THE UNITED KINGDOM,False,False,True,2
133,CASE OF GÜL v. SWITZERLAND,False,False,True,2
134,CASE OF PIRON v. FRANCE,False,False,True,2
135,CASE OF MERIAKRI v. MOLDOVA,False,False,True,2
136,CASE OF STEFANOV & YURUKOV v. BULGARIA,False,False,True,2
137,CASE OF MILATOVÁ AND OTHERS v. THE CZECH REPUBLIC,False,False,True,2
138,CASE OF S. AND MARPER v. THE UNITED KINGDOM,False,True,False,1
139,CASE OF WERNER v. AUSTRIA,False,False,True,2
140,CASE OF HADJIANASTASSIOU v. GREECE,False,False,True,2
141,CASE OF PODKOLZINA v. LATVIA,False,False,True,2
142,CASE OF GAS AND DUBOIS v. FRANCE,False,False,True,2
143,CASE OF KYPRIANOU v. CYPRUS,False,False,True,2
144,CASE OF LOSITSKIY v. RUSSIA,False,False,True,2
145,CASE OF ECKLE v. GERMANY (ARTICLE 50),False,False,True,2
146,CASE OF DAVITIDZE v. RUSSIA,False,False,True,2
147,CASE OF GHARIBASHVILI v. GEORGIA,False,False,True,2
148,CASE OF BEZZINA WETTINGER AND OTHERS v. MALTA,False,False,True,2
149,CASE OF R. KAČAPOR AND OTHERS v. SERBIA,False,False,True,2
150,CASE OF WETTSTEIN v. SWITZERLAND,False,False,True,2
151,CASE OF SERGEY SHEVCHENKO v. UKRAINE,False,False,True,2
152,CASE OF KAVALIAUSKAS AND OTHERS v. LITHUANIA,False,False,True,2
153,CASE OF OLSSON v. SWEDEN (No. 1),False,False,True,2
154,CASE OF OSTERMUNCHNER v. GERMANY,False,False,True,2
155,CASE OF SHALYA v. RUSSIA,False,False,True,2
156,CASE OF DOBBERTIN v. FRANCE,False,False,True,2
157,CASE OF DE SOUZA RIBEIRO v. FRANCE,False,False,True,2
158,CASE OF ANDRIANOVA AND OTHERS  v. UKRAINE,False,False,True,2
159,CASE OF S.H. AND OTHERS v. AUSTRIA,False,False,True,2
160,CASE OF WIZERKANIUK v. POLAND,False,False,True,2
161,CASE OF ZANNOUTI v. FRANCE,False,False,True,2
162,CASE OF TWIZELL v. THE UNITED KINGDOM,False,False,True,2
163,CASE OF WALCHLI v. FRANCE,False,False,True,2
164,"CASE OF MATOS E SILVA, LDA., AND OTHERS v. PORTUGAL",False,True,False,1
165,CASE OF STOLYAROVA v. RUSSIA,True,False,False,0
166,CASE OF PRADO BUGALLO v. SPAIN,False,False,True,2
167,CASE OF RAIMONDO v. ITALY,False,True,False,1
168,CASE OF MELTEX LTD AND MOVSESYAN v. ARMENIA,False,False,True,2
169,CASE OF SALMAN v. TURKEY,False,True,False,1
170,CASE OF GIORGI NIKOLAISHVILI v. GEORGIA,False,True,False,1
171,CASE OF NORBERT SIKORSKI v. POLAND,False,False,True,2
172,CASE OF TELTRONIC-CATV v. POLAND,False,False,True,2
173,CASE OF MUSIAL v. POLAND,False,False,True,2
174,CASE OF Y. v. SLOVENIA,False,False,True,2
175,CASE OF ROMAN ZAKHAROV v. RUSSIA,False,True,False,1
176,CASE OF MAESTRI v. ITALY,False,True,False,1
177,CASE OF KVASNICA v. SLOVAKIA,False,False,True,2
178,CASE OF B. v. ROMANIA (No. 2),False,False,True,2
179,CASE OF ÇIRAKLAR v. TURKEY,False,False,True,2
180,CASE OF REHBOCK v. SLOVENIA,False,False,True,2
181,CASE OF VELCEA AND MAZARE v. ROMANIA,False,False,True,2
182,CASE OF THORGEIR THORGEIRSON v. ICELAND,False,False,True,2
183,CASE OF DI BELMONTE v. ITALY,False,False,True,2
184,CASE OF YEVGENIY ZAKHAROV v. RUSSIA,True,True,False,0-1
185,CASE OF CELIKBILEK v. TURKEY,False,True,False,1
186,CASE OF DIMOV AND OTHERS v. BULGARIA,False,False,True,2
187,CASE OF STYRANOWSKI v. POLAND,False,True,False,1
188,CASE OF TESLENKO v. UKRAINE,False,False,True,2
189,CASE OF NACARYAN AND DERYAN v. TURKEY,False,False,True,2
190,CASE OF MALIK v. POLAND,False,False,True,2
191,CASE OF SARL DU PARC D'ACTIVITES DE BLOTZHEIM v. FRANCE,False,False,True,2
192,CASE OF GOROU v. GREECE (No. 2),False,False,True,2
193,CASE OF OSTROVAR v. MOLDOVA,False,False,True,2
194,CASE OF SELEZNEV v. RUSSIA,False,False,True,2
195,CASE OF ANTHONY AQUILINA v. MALTA,False,False,True,2
196,CASE OF SOVTRANSAVTO HOLDING v. UKRAINE,False,False,True,2
197,CASE OF KURT v. TURKEY,False,True,False,1
198,CASE OF LAAKSONEN v. FINLAND,False,False,True,2
199,CASE OF T.P. AND K.M. v. THE UNITED KINGDOM,False,True,False,1
200,CASE OF STEEL AND MORRIS v. THE UNITED KINGDOM,False,False,True,2
201,CASE OF CHRISTINE GOODWIN v. THE UNITED KINGDOM,False,True,False,1
202,CASE OF O'HARA v. THE UNITED KINGDOM,False,True,False,1
203,CASE OF GLASER v. THE UNITED KINGDOM,False,False,True,2
204,CASE OF SIGURÐUR A. SIGURJÓNSSON v. ICELAND,False,False,True,2
205,CASE OF BENEDIKTOV v. RUSSIA,False,False,True,2
206,CASE OF KAMINSKAS v. LITHUANIA,True,True,False,0-1
207,CASE OF CICEK v. TURKEY,False,True,False,1
208,CASE OF KOLEVI v. BULGARIA,False,False,True,2
